These are the current TESTED and IMPLMENTED EVOLUTION METHODS. 		EVO_VAR //MAP LOCATIONS: 0-NOTHING, 1-LUMBRIDGE, 16-VARROCK, 3-FALADOR, 4-MEMBERS, 5-OCEAN, 6-WILDERNESS, 7-MORYTANIA, 33-CAVES, 9-ABYSS, 10-OFFWORLD, 11-DESERT, 15-KARAMJA,		@	
MONSTER	METHOD	SECONDARY REQUIREMENT	EVOLVES INTO		
					
Calf	EVO_ITEM	DEATH_RUNE	Cow_Plague_Form		
Calf	EVO_FEMALE_LEVEL	19	Cow		
Calf	EVO_MALE_LEVEL	19	Bull		
Calf	EVO_ITEM	VANILLA_MILK	Cow_Vanilla_Form		
Calf	EVO_ITEM	STRAWBERRY_MILK	Cow_Strawberry_Form		
Calf	EVO_ITEM	CHOCOLATE_MILK	Cow_Chocolate_Form		
Calf	EVO_ITEM	CHAOS_RUNE	Minotaur_Normal_Form		
Calf	EVO_VAR	7	Cow_Undead_Form		//7 = MORYTANIA
Calf	EVO_OTHER_PARTY_MON	Ram_Golden_Form	Trojan_Cow		
Calf	EVO_OTHER_PARTY_MON	Unicorn_White_Form	Unicow		
Cow	EVO_FEMALE_DEATH	32	SkeletalOx_Female_Form		//Multiple Methods.
Cow	EVO_ITEM	DEATH_RUNE	SkeletalOx_Female_Form		//Multiple Methods.
Cow	EVO_LEVEL_ATK_LT_DEF	32	Cow_Dairy_Form		
Cow	EVO_LEVEL_ATK_GT_DEF	32	Super_Cow		
Cow_Strawberry_Form	EVO_MOVE	RAPID_SPIN	Cow_Harlequin_Form		//RAPID_SPIN learn at level 34
Cow_Vanilla_Form	EVO_MOVE	RAPID_SPIN	Cow_Harlequin_Form		//RAPID_SPIN learn at level 34
Cow_Chocolate_Form	EVO_MOVE	RAPID_SPIN	Cow_Harlequin_Form		//RAPID_SPIN learn at level 34
Bull	EVO_ITEM	CHAOS_RUNE	Catablepon		
Bull	EVO_LEVEL	32	Bull_Elder_Form		//JUMP_KICK learn at level 35
